,sentence,rankt,ranko
145,natürlich nicht,145,174
146,und du,146,100
147,na schön,147,444
148,was willst du,148,173
149,viel glück,149,142
150,großartig,150,223
151,"ja, natürlich",151,154
152,geh,152,189
153,na und,153,126
154,was machst du da,154,185
155,moment mal,155,203
156,entschuldigen sie,156,148
157,super,157,144
158,papa,158,70
159,echt,159,119
160,das ist gut,160,195
161,"ja, ich weiß",161,220
162,ruhe,162,97
163,das ist alles,163,233
164,fertig,164,152
165,vergiss es,165,245
166,was machst du hier,166,229
167,setz dich,167,171
168,gott,168,265
169,ach,169,38
170,oder,170,145
171,mach schon,171,273
172,achtung,172,89
173,wieso nicht,173,254
174,komm mit,174,210
175,au,175,74
176,äh,176,88
177,jawohl,177,75
178,wann,178,187
179,wo bist du,179,240
180,wo ist sie,180,231
181,yeah,181,568
182,na ja,182,99
183,was war das,183,274
184,weiter,184,115
185,was soll das heißen,185,222
186,aufhören,186,196
187,kommt,187,141
188,was wollen sie,188,213
189,tatsächlich,189,257
190,wer bist du,190,250
191,zurück,191,225
192,keine bewegung,192,461
193,jack,193,392
194,unglaublich,194,221
195,cool,195,305
196,amen,196,150
197,verschwinde,197,227
198,"ja, klar",198,158
199,wohin,199,143
200,runter,200,202
201,feuer,201,149
202,pass auf,202,159
203,sehen sie,203,207
204,gern geschehen,204,457
205,es tut mir so leid,205,531
206,kommt schon,206,675
207,das ist es,207,417
208,steh auf,208,279
209,ha,209,117
210,ich auch nicht,210,211
211,vater,211,181
212,was ist hier los,212,301
213,los geht's,213,473
214,alles okay,214,294
215,setzen sie sich,215,157
216,"nein, sir",216,341
217,verstehst du,217,197
218,wartet,218,442
219,alles ok,219,572
220,bitte sehr,220,188
221,was ist denn los,221,123
222,ich komme,222,177
223,ach so,223,62
224,"oh, scheiße",224,508
225,ich muss los,225,290
226,bist du sicher,226,427
227,er ist tot,227,277
228,einen moment,228,218
229,"ja, genau",229,228
230,ehrlich,230,284
231,na,231,42
232,das reicht,232,345
233,wunderbar,233,163
234,im ernst,234,507
235,bis später,235,336
236,versprochen,236,248
237,gar nichts,237,237
238,alles,238,206
239,wie geht es dir,239,285
240,perfekt,240,431
241,geht es dir gut,241,1018
242,tja,242,137
243,hören sie,243,338
244,mir geht's gut,244,644
245,halt die klappe,245,590
246,vorwärts,246,178
247,prost,247,69
248,ist schon gut,248,615
249,ähm,249,156
250,polizei,250,238
251,das geht nicht,251,182
252,john,252,1129
253,gut gemacht,253,494
254,"oh, mann",254,541
255,woher weißt du das,255,401
256,da ist er,256,243
257,aus dem weg,257,326
258,sam,258,780
259,komm rein,259,270
260,es ist vorbei,260,456
261,mhm,261,67
262,wo willst du hin,262,366
263,fuck,263,234
264,beeil dich,264,291
265,warte mal,265,259
266,egal,266,216
267,hau ab,267,140
268,wovon redest du,268,686
269,bravo,269,109
270,gott sei dank,270,271
271,raus hier,271,377
272,lass mich los,272,387
273,und dann,273,155
274,na klar,274,262
275,auf keinen fall,275,405
276,danke schön,276,91
277,einverstanden,277,281
278,bereit,278,641
279,wofür,279,304
280,sei still,280,386
281,mutter,281,283
282,was meinen sie,282,316
283,das,283,266
284,lauf,284,342
285,herein,285,183
286,wozu,286,217
287,darf ich,287,209
288,meine güte,288,708
289,ich muss gehen,289,354
290,ist gut,290,260
291,danke sehr,291,323
292,ist alles in ordnung,292,719
293,zwei,293,212
294,schneller,294,136
295,bewegung,295,352
296,ich verstehe nicht,296,364
297,und jetzt,297,179
298,unmöglich,298,319
299,wo sind sie,299,486
300,tschüs,300,129
301,das weiß ich,301,491
302,daddy,302,937
303,das ist,303,332
304,wo warst du,304,380
305,hilf mir,305,415
306,sieh dir das an,306,881
307,und sie,307,194
308,das war's,308,640
309,beruhige dich,309,389
310,was gibt's,310,430
311,wie geht's dir,311,370
312,was zum teufel,312,1103
313,willkommen,313,412
314,hä,314,112
315,sieh mich an,315,569
316,"ja, sicher",316,344
317,weiß nicht,317,267
318,beeilung,318,224
319,wir,319,246
320,sehr schön,320,269
321,wie geht es ihnen,321,320
322,klasse,322,727
323,keine angst,323,247
324,sorry,324,581
325,mann,325,204
326,ganz genau,326,802
327,ich wusste es,327,513
328,entschuldigen sie mich,328,530
329,das ist er,329,414
330,das tut mir leid,330,309
331,"danke, sir",331,462
332,das bin ich,332,487
333,wen,333,325
334,gute idee,334,397
335,kann ich ihnen helfen,335,540
336,ich bin hier,336,643
337,was meinst du damit,337,789
338,ich meine,338,359
339,nicht wahr,339,324
340,absolut,340,645
341,wie heißt du,341,261
342,ich nicht,342,334
343,niemand,343,385
344,ich gehe,344,424
345,captain,345,551
346,"ja, bitte",346,169
347,schau,347,272
348,bitte nicht,348,329
349,drei,349,353
350,auf geht's,350,474
351,hier entlang,351,493
352,bist du verrückt,352,264
353,allerdings,353,383
354,du auch,354,244
355,wer war das,355,337
356,unsinn,356,191
357,das glaube ich nicht,357,468
358,hmm,358,871
359,schatz,359,983
360,selbstverständlich,360,276
361,lass das,361,422
362,"ja, danke",362,289
363,was heißt das,363,242
364,sieh mal,364,433
365,wie viel,365,322
366,alles wird gut,366,610
367,mal sehen,367,523
368,nicht wirklich,368,945
369,nicht schlecht,369,357
370,fick dich,370,1032
371,sind sie sicher,371,550
372,das ist unmöglich,372,479
373,langsam,373,317
374,ich glaube nicht,374,483
375,was hast du gesagt,375,458
376,ende,376,219
377,gut so,377,419
378,deutsche untertitel für the shield gibts auf board.tv4user.de,378,9899
379,was hast du vor,379,589
380,wo gehst du hin,380,862
381,hör mir zu,381,765
382,was soll ich tun,382,504
383,ich weiß es,383,585
384,arschloch,384,286
385,bist du okay,385,1773
386,lass mich in ruhe,386,348
387,geht's dir gut,387,978
388,ist ja gut,388,369
389,das ist nicht wahr,389,388
390,mach dir keine sorgen,390,556
391,was ist los mit dir,391,537
392,fantastisch,392,828
393,herzlichen glückwunsch,393,399
394,glückwunsch,394,646
395,was hast du,395,351
396,ruhig,396,300
397,prima,397,465
398,ernsthaft,398,3384
399,gehen sie,399,346
400,nur zu,400,858
401,kommen sie rein,401,407
402,genug,402,480
403,wach auf,403,554
404,hört auf,404,481
405,so ist es,405,429
406,oh mann,406,740
407,wie meinst du das,407,328
408,ausgezeichnet,408,363
409,gern,409,199
410,ich bin's,410,408
411,was ist mit dir,411,512
412,weiß ich nicht,412,425
413,nicht schießen,413,315
414,hör auf damit,414,805
415,es reicht,415,436
416,verdammte scheiße,416,620
417,weg,417,208
418,abgemacht,418,603
419,charlie,419,1343
420,was hat er gesagt,420,365
421,mir geht es gut,421,1587
422,halt's maul,422,484
423,gerne,423,235
424,das stimmt nicht,424,536
425,eins,425,275
426,nee,426,56
427,woher wissen sie das,427,445
428,was ist es,428,698
429,er,429,575
430,kapiert,430,668
431,freut mich,431,299
432,sie haben recht,432,501
433,stehen bleiben,433,252
434,entspann dich,434,1025
435,ciao,435,162
436,david,436,459
437,idiot,437,310
438,vorsichtig,438,451
439,wissen sie was,439,1048
440,frank,440,1271
441,na komm,441,331
442,das ist toll,442,1498
443,das weiß ich nicht,443,391
444,und wie,444,492
445,lass mich,445,280
446,wohin gehst du,446,747
447,alex,447,258
448,es ist nur,448,1583
449,was bedeutet das,449,700
450,michael,450,669
451,nicht jetzt,451,630
452,ich denke schon,452,466
453,"hey, hey",453,1098
454,interessant,454,347
455,hände hoch,455,255
456,hier lang,456,597
457,hör mal,457,705
458,was machst du denn hier,458,293
459,was denkst du,459,1033
460,gute arbeit,460,1521
461,was tust du,461,1080
462,"ja, gut",462,395
463,quatsch,463,134
464,alles gut,464,548
465,"ja, das stimmt",465,517
466,weg da,466,368
467,max,467,394
468,was hast du getan,468,1359
469,was sagst du,469,606
470,leute,470,951
471,"eins, zwei, drei",471,372
472,mike,472,1219
473,bitte schön,473,215
474,er hat recht,474,925
475,was machen wir jetzt,475,450
476,"ja, ma'am",476,2607
477,"los, los",477,477
478,komm zurück,478,637
479,machst du witze,479,2462
480,mm,480,976
481,sei vorsichtig,481,902
482,harry,482,428
483,alle,483,263
484,mach's gut,484,393
485,lass uns gehen,485,1490
486,stimmt's,486,818
487,es ist okay,487,7548
488,"jawohl, sir",488,497
489,over,489,470
490,ich verspreche es,490,1243
491,doktor,491,578
492,wie denn,492,335
493,bye,493,1021
494,geh weg,494,472
495,es ist,495,1096
496,bis bald,496,426
497,ganz sicher,497,520
498,verstehen sie,498,373
499,das kann ich nicht,499,733
500,das werde ich,500,1139
501,nicht mehr,501,990
502,das ist richtig,502,1567
503,bleib hier,503,557
504,"oh, danke",504,730
505,"ha, ha",505,1158
506,schade,506,146
507,aah,507,1037
508,endlich,508,312
509,nicht bewegen,509,860
510,"los, los, los",510,895
511,ich bin gleich wieder da,511,514
512,ich schon,512,722
513,vertrau mir,513,814
514,spinnst du,514,170
515,gib her,515,327
516,was geht hier vor,516,790
517,wer weiß,517,576
518,schon wieder,518,547
519,bis morgen,519,343
520,helft mir,520,940
521,noch mal,521,382
522,tom,522,340
523,tot,523,350
524,heilige scheiße,524,2917
525,steig ein,525,440
526,wir müssen los,526,685
527,weißt du,527,888
528,das ist verrückt,528,2308
529,wie spät ist es,529,611
530,blödsinn,530,421
531,liebling,531,876
532,augenblick,532,434
533,ach was,533,297
534,wahnsinn,534,278
535,aufmachen,535,302
536,jesus,536,1568
537,nicht nötig,537,731
538,ist das wahr,538,660
539,von wem,539,463
540,beeilt euch,540,475
541,viel spaß,541,544
542,herrgott,542,1034
543,stop,543,413
544,ich danke ihnen,544,409
545,mami,545,360
546,"schön, dich zu sehen",546,1020
547,na also,547,384
548,auf jeden fall,548,1554
549,spannende musik,549,200
550,pst,550,193
551,was tust du da,551,1229
552,also dann,552,488
553,zu spät,553,490
554,sie kommen,554,339
555,klappe,555,1290
556,sehr erfreut,556,439
557,er ist weg,557,829
558,aber nein,558,448
559,aber natürlich,559,528
560,worüber,560,674
561,los jetzt,561,583
562,verpiss dich,562,454
563,ich habe angst,563,729
564,wie heißen sie,564,467
565,wie auch immer,565,1502
566,"nein, ich",566,710
567,ich liebe dich auch,567,1606
568,peter,568,313
569,ich bin,569,794
570,mich,570,476
571,ich verstehe das nicht,571,1019
572,scheiß drauf,572,1198
573,aua,573,135
574,genau so,574,807
575,ist das klar,575,376
576,da ist sie,576,808
577,"okay, okay",577,2440
578,was kann ich für sie tun,578,582
579,schnauze,579,471
580,paul,580,268
581,mach ich,581,522
582,halt den mund,582,691
583,gar nicht,583,571
584,hörst du mich,584,574
585,jungs,585,1118
586,ist das alles,586,416
587,stimmt das,587,605
588,das ist lächerlich,588,1589
589,wir müssen reden,589,1809
590,sie ist tot,590,974
591,es geht mir gut,591,1743
592,was machen sie da,592,748
593,ich will nicht,593,509
594,was redest du da,594,993
595,"ja, ja, ja",595,438
596,tag,596,161
597,"ach, ja",597,661
598,nie,598,356
599,bist du bereit,599,2056
600,ich hab's,600,626
601,ich glaube schon,601,842
602,ben,602,782
603,was jetzt,603,718
604,roger,604,939
605,wasser,605,469
606,es geht los,606,532
607,lauft,607,1269
608,hören sie auf,608,560
609,überhaupt nicht,609,666
610,da drüben,610,713
611,sdi media group,611,1934
612,george,612,2210
613,frohe weihnachten,613,627
614,"ja, aber",614,374
615,für mich,615,573
616,wo ist es,616,944
617,das ist mir egal,617,498
618,ich meine es ernst,618,1902
619,geh schon,619,848
620,keine ursache,620,715
621,festhalten,621,519
622,aber ich,622,411
623,wie schön,623,464
624,ist mir egal,624,1150
625,das kann nicht sein,625,791
626,was machen sie hier,626,570
627,ich habe keine ahnung,627,1677
628,kaffee,628,533
629,aber sicher,629,757
630,ist das dein ernst,630,1703
631,leck mich,631,929
632,ich bin es,632,935
633,was soll ich sagen,633,1127
634,wie fühlst du dich,634,2386
635,das ist wahr,635,999
636,wir sehen uns,636,1504
637,hier ist es,637,682
638,du hattest recht,638,2201
639,german,639,2532
640,verschwindet,640,650
641,pass auf dich auf,641,652
642,"nein, nein, nein, nein",642,1629
643,helfen sie mir,643,816
644,joe,644,1082
645,verdammt noch mal,645,538
646,vier,646,506
647,in der tat,647,1291
648,"ach, wirklich",648,1640
649,da bist du ja,649,649
650,kommen sie mit,650,446
651,"hier, bitte",651,926
652,großer gott,652,827
653,heute,653,804
654,wo bin ich,654,792
655,"nein, natürlich nicht",655,874
656,was ist denn das,656,226
657,du meine güte,657,1571
658,was machen sie,658,1053
659,ich höre,659,912
660,lasst mich los,660,612
661,meine herren,661,306
662,kinder,662,518
663,sarah,663,896
664,ich kümmere mich darum,664,1915
665,fünf,665,732
666,was dann,666,873
667,hast du verstanden,667,769
668,anna,668,307
669,und ich,669,601
670,meister,670,2485
671,nett,671,1757
672,wo sind wir,672,701
673,verflucht,673,1044
674,ich komme mit,674,724
675,später,675,367
676,was ist das denn,676,398
677,da sind sie,677,653
678,"ja, richtig",678,982
679,das ist sie,679,1097
680,beruhigen sie sich,680,837
681,was sollen wir tun,681,1329
682,wir gehen,682,704
683,er ist hier,683,1401
684,erinnerst du dich,684,1361
685,"nein, ist es nicht",685,3207
686,weg hier,686,831
687,nicht doch,687,688
688,ich kann das nicht,688,616
689,aufstehen,689,447
690,also los,690,750
691,wovon reden sie,691,1414
692,psst,692,449
693,tu es,693,2877
694,macht nichts,694,542
695,ich bin dabei,695,1519
696,lass los,696,1130
697,whoa,697,5762
698,du lügst,698,577
699,dann los,699,1501
700,bin gleich wieder da,700,900
701,überraschung,701,694
702,ganz recht,702,954
703,besser,703,846
704,da ist es,704,897
705,na dann,705,596
706,nein danke,706,525
707,was zum,707,2576
708,macht schon,708,1014
709,"hey, leute",709,3873
710,das weißt du,710,1733
711,aber ja,711,604
712,das gefällt mir,712,1493
713,wunderschön,713,636
714,nick,714,1296
715,du bist verrückt,715,875
716,wirklich nicht,716,559
717,dean,717,9899
718,henry,718,1143
719,sehr witzig,719,723
720,ich muss,720,673
721,wie du willst,721,921
722,mir auch,722,1000
723,"ja, stimmt",723,1239
724,wer ist es,724,836
725,"hey, hey, hey",725,2634
726,was tust du hier,726,1856
727,falsch,727,919
728,bleib stehen,728,452
729,für dich,729,435
730,"ok, ok",730,1616
731,immer,731,687
732,hörst du,732,526
733,das tue ich,733,3690
734,soll das ein witz sein,734,1674
735,ich hab ihn,735,971
736,meinst du,736,631
737,und ob,737,756
738,fein,738,599
739,na toll,739,922
740,claire,740,1740
741,"nein, noch nicht",741,1144
742,was zum teufel ist das,742,1315
743,wie meinen sie das,743,621
744,baby,744,1128
745,himmel,745,1136
746,oder nicht,746,1276
747,ich muss mit dir reden,747,742
748,tu das nicht,748,2002
749,einfach so,749,634
750,gratuliere,750,303
751,taxi,751,613
752,hast du,752,2530
753,ich bitte dich,753,1187
754,das ist schön,754,567
755,ist es das,755,883
756,was noch,756,1041
757,mary,757,2290
758,für immer,758,579
759,ich bin bereit,759,996
760,allein,760,593
761,bist du ok,761,9899
762,"nein, nicht",762,2274
763,eigentlich nicht,763,1105
764,mach auf,764,499
765,so ist es gut,765,1299
766,fass mich nicht an,766,772
767,komm jetzt,767,510
768,geht nicht,768,833
769,ah ja,769,318
770,geht es ihnen gut,770,1815
771,das verstehe ich nicht,771,787
772,ich hasse dich,772,893
773,geht,773,1160
774,"oh, gut",774,3506
775,ich kann nicht mehr,775,311
776,jim,776,2350
777,ich bin müde,777,684
778,bist du in ordnung,778,2297
779,was ist mit ihm,779,994
780,geht klar,780,1530
781,ich dich auch,781,795
782,verschwinden sie,782,1004
783,schon okay,783,1753
784,wer seid ihr,784,864
785,hierher,785,478
786,ein bisschen,786,672
787,wir sind da,787,707
788,was ist damit,788,1154
789,verzeihen sie,789,521
790,"gut, gut",790,1028
791,schwester,791,1939
792,ich bin gleich zurück,792,1378
793,das ist nicht fair,793,2282
794,warum denn,794,349
795,ich liebe sie,795,1071
796,bis gleich,796,406
797,ich habe eine idee,797,1248
798,stimmt was nicht,798,1313
799,schon ok,799,8152
800,nö,800,321
801,loslassen,801,592
802,ganz einfach,802,839
803,anhalten,803,511
804,tony,804,4321
805,warte hier,805,1201
806,weil,806,591
807,das macht nichts,807,658
808,wie geht es ihm,808,1592
809,das wusste ich nicht,809,1389
810,wie war das,810,995
811,zum beispiel,811,924
812,oje,812,671
813,"ja, okay",813,1487
814,du siehst gut aus,814,1316
815,was zur hölle,815,9899
816,"warte, warte",816,2461
817,woher soll ich das wissen,817,866
818,"nein, bitte",818,1711
819,hab keine angst,819,988
820,lassen sie mich los,820,920
821,alles ist gut,821,1319
822,wie viele,822,998
823,hier drüben,823,4896
824,das hoffe ich,824,2154
825,sag es,825,1209
826,ma'am,826,2606
827,fbi,827,9899
828,sag es mir,828,1170
829,seht euch das an,829,2782
830,nun ja,830,1746
831,jane,831,5838
832,mach weiter,832,1463
833,was tun sie da,833,1731
834,jimmy,834,3482
835,danny,835,1924
836,er kommt,836,624
837,es,837,1227
838,hurra,838,378
839,du weißt schon,839,1511
840,ach du scheiße,840,738
841,nicht viel,841,1287
842,komisch,842,595
843,ist das so,843,2460
844,dankeschön,844,555
845,was machst du denn,845,850
846,alles gute,846,410
847,geld,847,1072
848,das ist unglaublich,848,1196
849,wieso denn,849,437
850,"nein, warte",850,2238
851,wisst ihr was,851,2790
852,"ich weiß, ich weiß",852,2059
853,jonathan,853,3076
854,was soll denn das,854,402
855,sehr,855,524
856,das hier,856,1948
857,wahrscheinlich,857,1083
858,scheisse,858,683
859,das ist großartig,859,2097
860,bruder,860,2618
861,"los, komm",861,552
862,billy,862,1548
863,glaub mir,863,1218
864,seltsam,864,960
865,seht ihr,865,2714
866,aber warum,866,844
867,sie hat recht,867,1943
868,ich erinnere mich,868,2921
869,oh scheiße,869,1411
870,dort,870,608
871,o gott,871,496
872,und was,872,943
873,ich danke dir,873,904
874,geschafft,874,972
875,mein sohn,875,955
876,sie auch,876,776
877,schau mal,877,502
878,es ist wichtig,878,910
879,mhm-hm,879,8931
880,ach nein,880,1197
881,ganz gut,881,1471
882,heute abend,882,1149
883,kate,883,5898
884,und warum,884,623
885,du bist dran,885,1460
886,es ist ok,886,6023
887,bobby,887,2393
888,hören sie mich,888,662
889,bestimmt,889,390
890,wir werden sehen,890,1333
891,hast du das gehört,891,1668
892,james,892,979
893,nun gut,893,1351
894,maria,894,288
895,hört zu,895,1377
896,der nächste,896,806
897,auf den boden,897,2498
898,es ist wahr,898,1798
899,her damit,899,952
900,alter,900,1157
901,mit wem,901,1050
902,was ist denn hier los,902,333
903,nicht ganz,903,1217
904,kommst du,904,561
905,entschuldigt mich,905,4144
906,daniel,906,1665
907,"oh, tut mir leid",907,9484
908,womit,908,946
909,mistkerl,909,1701
910,was meinen sie damit,910,1552
911,wer ist sie,911,2220
912,"ja, ich auch",912,1541
913,manchmal,913,744
914,na bitte,914,783
915,uh,915,695
916,wir haben es geschafft,916,1653
917,sonst noch was,917,1100
918,huh,918,1577
919,wie lange,919,1496
920,sag schon,920,1052
921,möglich,921,822
922,da lang,922,872
923,es funktioniert,923,1508
924,hoch,924,287
925,komm mal her,925,298
926,hinsetzen,926,638
927,sie ist weg,927,1932
928,klingt gut,928,1981
929,genau hier,929,2243
930,martin,930,379
931,clark,931,2030
932,ich komme gleich,932,534
933,richard,933,1450
934,schau dir das an,934,1695
935,beweg dich,935,1137
936,sechs,936,628
937,emily,937,9563
938,aus,938,330
939,es wird alles gut,939,1605
940,mach die tür auf,940,1119
941,bald,941,908
942,ist okay,942,2115
943,und weiter,943,749
944,"ja, und",944,403
945,sekunde,945,1214
946,ich bitte sie,946,543
947,ich schwöre es,947,2601
948,siehst du das,948,3100
949,guter junge,949,2265
950,mir,950,890
951,ich schwöre,951,1138
952,es ist alles in ordnung,952,1403
953,bingo,953,1942
954,welche,954,503
955,wie heißt er,955,930
956,es ist zu spät,956,1419
957,fast,957,1233
958,nimm das,958,1741
959,das ist nicht gut,959,2083
960,"aye, sir",960,9899
961,das verstehe ich,961,1787
962,einen augenblick,962,1009
963,bill,963,1650
964,hast du hunger,964,1040
965,einspruch,965,1302
966,rachel,966,9899
967,entschuldigen sie bitte,967,751
968,"oh, bitte",968,1950
969,was ist denn passiert,969,489
970,was wollt ihr,970,1038
971,was ist da los,971,1203
972,ich will,972,1189
973,tommy,973,2685
974,wir müssen gehen,974,2034
975,ich bin fertig,975,1375
976,chris,976,1839
977,hast du das gesehen,977,1527
978,was soll ich machen,978,746
979,bist du dir sicher,979,1585
980,schnitt,980,1503
981,hier bin ich,981,632
982,es ist in ordnung,982,8069
983,wie geht es ihr,983,2181
984,ich versuche es,984,2049
985,"ja, wirklich",985,1147
986,ray,986,1547
987,laura,987,891
988,das ist ein befehl,988,725
989,wie immer,989,720
990,habe ich,990,2721
991,eine sekunde,991,2068
992,wer sagt das,992,639
993,hervorragend,993,1814
994,wer ist er,994,2497
995,du nicht,995,973
996,bin ich nicht,996,1954
997,negativ,997,1730
998,du hast es geschafft,998,1940
999,schluss jetzt,999,739
1000,stimmt etwas nicht,1000,2539
1001,immer mit der ruhe,1001,2102
1002,was soll's,1002,1900
1003,eddie,1003,2928
1004,nicht hier,1004,1178
1005,nach hause,1005,594
1006,lieutenant,1006,1085
1007,wir haben ein problem,1007,2763
1008,bewegt euch,1008,892
1009,weißt du noch,1009,959
1010,nur,1010,1482
1011,kommst du mit,1011,529
1012,guck mal,1012,296
1013,um gottes willen,1013,371
1014,nicht gut,1014,1163
1015,"ja, vielleicht",1015,1047
1016,igitt,1016,1346
1017,freunde,1017,1076
1018,an die arbeit,1018,764
1019,und los,1019,1322
1020,weswegen,1020,2476
1021,lass mal sehen,1021,1562
1022,boss,1022,1484
1023,ist es nicht,1023,2465
1024,das ist es nicht,1024,2077
1025,du siehst toll aus,1025,2330
1026,ich brauche hilfe,1026,5035
1027,folgen sie mir,1027,1194
1028,seit wann,1028,753
1029,wo wollen sie hin,1029,1114
1030,was soll das bedeuten,1030,2362
1031,ich helfe dir,1031,1371
1032,wie läuft's,1032,1962
1033,"schön, sie zu sehen",1033,1398
1034,"eins, zwei",1034,803
1035,klar doch,1035,1778
1036,was sagst du da,1036,1499
1037,sind sie verrückt,1037,958
1038,korrekt,1038,2011
1039,was hast du gemacht,1039,1608
1040,zum wohl,1040,381
1041,telefon,1041,396
1042,mein vater,1042,706
1043,alice,1043,3117
1044,wie das,1044,2396
1045,charles,1045,2528
1046,"hey, mann",1046,3620
1047,umdrehen,1047,986
1048,hast du gehört,1048,1005
1049,sehen sie sich das an,1049,1974
1050,nicht so schnell,1050,906
1051,schwachsinn,1051,2250
1052,"komm schon, mann",1052,4734
1053,und das,1053,909
1054,wie alt bist du,1054,773
1055,wovon sprichst du,1055,2551
1056,keine chance,1056,1721
1057,nehmen sie platz,1057,664
1058,ich dachte,1058,830
1059,inwiefern,1059,2694
1060,"ich weiß nicht, was ich sagen soll",1060,2899
1061,alles bestens,1061,2317
1062,jetzt nicht mehr,1062,2027
1063,johnny,1063,1539
1064,das ergibt keinen sinn,1064,4180
1065,sieben,1065,809
1066,ich bin da,1066,1238
1067,worum geht es,1067,2086
1068,hören sie mir zu,1068,2014
1069,bob,1069,1396
1070,ich warte,1070,820
1071,andy,1071,5726
1072,schau mich an,1072,1376
1073,was haben sie gesagt,1073,1325
1074,mm-hmm,1074,9899
1075,keine panik,1075,1066
1076,ist da jemand,1076,969
1077,kommt her,1077,1039
1078,halt dich fest,1078,832
1079,ist er das,1079,1442
1080,was hat sie gesagt,1080,1335
1081,ist schon okay,1081,1933
1082,will,1082,9899
1083,kann sein,1083,1151
1084,jake,1084,9899
1085,emma,1085,4499
1086,das sehe ich,1086,1123
1087,meine frau,1087,670
1088,das freut mich,1088,549
1089,ich mach das,1089,1770
1090,dann mal los,1090,2073
1091,lügner,1091,1865
1092,halt an,1092,766
1093,"oh, verdammt",1093,4483
1094,kommt rein,1094,1109
1095,die wahrheit,1095,1262
1096,nicht schon wieder,1096,1298
1097,das habe ich,1097,4787
1098,hören sie zu,1098,1766
1099,"gut, danke",1099,1003
1100,thomas,1100,535
1101,was willst du hier,1101,853
1102,fangen wir an,1102,2057
1103,haut ab,1103,676
1104,es war ein unfall,1104,2765
1105,in deckung,1105,667
1106,du bleibst hier,1106,619
1107,ich brauche deine hilfe,1107,3685
1108,still,1108,754
1109,ich habe,1109,1152
1110,"na, los",1110,752
1111,lass mich raten,1111,3565
1112,wo denn,1112,500
1113,und was jetzt,1113,2283
1114,pardon,1114,361
1115,ich denke nicht,1115,4457
1116,"okay, gut",1116,3541
1117,was weiß ich,1117,709
1118,angenehm,1118,563
1119,monsieur,1119,728
1120,bist du das,1120,1612
1121,er ist es,1121,2153
1122,verrückt,1122,1483
1123,guten appetit,1123,482
1124,ich habe hunger,1124,938
