,sentence,rankt,ranko
346,"espera, espera",346,328
347,no lo haré,347,630
348,te lo dije,348,327
349,madre,349,555
350,déjame ver,350,326
351,suficiente,351,489
352,eres tú,352,406
353,imposible,353,345
354,michael,354,1147
355,"oh, mierda",355,302
356,charlie,356,445
357,"si, señor",357,438
358,"sí, gracias",358,363
359,qué cosa,359,283
360,cuánto,360,276
361,espera un segundo,361,425
362,vete a la mierda,362,214
363,te lo prometo,363,379
364,un poco,364,474
365,nos vamos,365,341
366,david,366,316
367,déjalo,367,359
368,veamos,368,510
369,es genial,369,464
370,a quién,370,371
371,quién es usted,371,361
372,lo sabes,372,481
373,"bien, bien",373,374
374,quizás,374,735
375,absolutamente,375,674
376,perdóname,376,346
377,jefe,377,590
378,buen día,378,332
379,cuál,379,362
380,qué quiere decir,380,498
381,ven acá,381,179
382,mucho,382,354
383,atención,383,343
384,debo irme,384,452
385,"está bien, está bien",385,368
386,mire,386,381
387,pasa,387,376
388,qué dijiste,388,266
389,tenemos que irnos,389,338
390,eso espero,390,431
391,okay,391,440
392,perdone,392,473
393,tonterías,393,418
394,tú también,394,400
395,supongo,395,692
396,maravilloso,396,422
397,deprisa,397,339
398,abre la puerta,398,308
399,porque,399,538
400,con permiso,400,282
401,estoy de acuerdo,401,703
402,"ay, dios",402,309
403,no lo es,403,631
404,quizá,404,409
405,"ay, dios mío",405,246
406,qué hace,406,286
407,mírate,407,460
408,mañana,408,349
409,es todo,409,344
410,lo juro,410,645
411,andando,411,353
412,estas bien,412,336
413,qué dijo,413,340
414,confía en mí,414,563
415,ayúdenme,415,395
416,discúlpeme,416,468
417,me oyes,417,287
418,para nada,418,527
419,frank,419,470
420,eso creo,420,580
421,hagámoslo,421,490
422,apúrate,422,299
423,quieto,423,280
424,cómo te sientes,424,540
425,dónde están,425,399
426,qué diablos,426,319
427,desde luego,427,441
428,peter,428,1342
429,papi,429,453
430,cuídate,430,337
431,feliz navidad,431,416
432,guau,432,925
433,date prisa,433,475
434,"sí, estoy bien",434,480
435,"uno, dos, tres",435,451
436,nosotros,436,677
437,qué sucedió,437,819
438,calma,438,335
439,dame eso,439,414
440,qué hacemos,440,398
441,"no, por favor",441,367
442,solo,442,902
443,estás loca,443,598
444,eso es bueno,444,604
445,no puedes,445,624
446,no es verdad,446,403
447,quédate aquí,447,424
448,tom,448,572
449,sobre qué,449,516
450,no mucho,450,521
451,te tengo,451,612
452,listos,452,404
453,yo sí,453,420
454,quién eres tú,454,520
455,qué hora es,455,296
456,bienvenido,456,613
457,mike,457,564
458,qué hiciste,458,449
459,harry,459,1262
460,déjame en paz,460,394
461,no me digas,461,298
462,dámelo,462,412
463,buena idea,463,419
464,"sí, está bien",464,455
465,todos,465,413
466,no quiero,466,562
467,lárgate,467,320
468,ahora no,468,377
469,qué dice,469,317
470,es imposible,470,536
471,"vamos, vamos, vamos",471,384
472,mami,472,833
473,corran,473,348
474,al suelo,474,535
475,mucho gusto,475,261
476,qué quiere,476,366
477,no puedo hacerlo,477,508
478,fuera de aquí,478,426
479,"no, estoy bien",479,607
480,no estoy seguro,480,634
481,"sí, lo es",481,807
482,mr,482,776
483,grandioso,483,647
484,es una locura,484,549
485,rayos,485,547
486,estamos bien,486,715
487,se ha ido,487,880
488,no está mal,488,342
489,aquí tiene,489,423
490,caray,490,271
491,ya no,491,476
492,sigue,492,401
493,mmm,493,593
494,qué tienes,494,432
495,un segundo,495,530
496,y ahora qué,496,586
497,dónde has estado,497,783
498,ben,498,477
499,allí,499,552
500,siempre,500,465
501,usted,501,550
502,esta noche,502,478
503,él,503,1264
504,es suficiente,504,557
505,dónde estabas,505,497
506,allá vamos,506,561
507,mentira,507,318
508,algo más,508,459
509,me entiendes,509,382
510,ya sé,510,429
511,"no, no lo es",511,957
512,yo me encargo,512,574
513,no tengo idea,513,922
514,adónde,514,388
515,ella,515,969
516,lo se,516,746
517,qué le pasa,517,369
518,no me toques,518,435
519,despacio,519,450
520,encantado,520,385
521,tengo una idea,521,560
522,caballeros,522,482
523,quién sabe,523,500
524,alex,524,303
525,quiero decir,525,658
526,lo tienes,526,681
527,aquí estoy,527,514
528,y yo,528,579
529,adios,529,845
530,feliz cumpleaños,530,587
531,hermano,531,636
532,con cuidado,532,437
533,amigo,533,467
534,igualmente,534,396
535,continúa,535,654
536,no lo sabía,536,644
537,se fue,537,710
538,discúlpame,538,575
539,pase,539,502
540,dilo,540,446
541,es posible,541,492
542,"hola, chicos",542,787
543,ya sabes,543,632
544,a mí,544,442
545,sarah,545,866
546,uh,546,867
547,sal,547,499
548,qué estás diciendo,548,795
549,mejor,549,461
550,algo así,550,569
551,créeme,551,667
552,cuatro,552,616
553,eso está bien,553,859
554,por supuesto que sí,554,972
555,no tiene sentido,555,744
556,qué vamos a hacer,556,600
557,supongo que sí,557,588
558,lo hiciste,558,974
559,escuchen,559,463
560,no lo entiendes,560,1050
561,habla,561,842
562,que pasa,562,505
563,"sí, sí, sí",563,479
564,despejado,564,541
565,en absoluto,565,578
566,más o menos,566,402
567,"hola, papá",567,592
568,caramba,568,486
569,está loco,569,387
570,sólo,570,841
571,george,571,1167
572,joe,572,507
573,huh,573,1175
574,santo cielo,574,483
575,sube,575,487
576,uu,576,232
577,dios santo,577,417
578,dónde estamos,578,672
579,aguanta,579,558
580,buen chico,580,1066
581,henry,581,2165
582,eso es genial,582,1387
583,y ahora,583,594
584,oh dios,584,1073
585,recibido,585,657
586,max,586,301
587,tenías razón,587,1213
588,no te vayas,588,511
589,estaré bien,589,1177
590,lo entiendes,590,1111
591,tengo miedo,591,773
592,no digas eso,592,721
593,qué bueno,593,454
594,no hagas eso,594,466
595,interesante,595,944
596,paul,596,643
597,señorita,597,526
598,puedes hacerlo,598,907
599,cinco,599,684
600,"hola, mamá",600,660
601,qué piensas,601,802
602,tenemos que hablar,602,767
603,no es justo,603,734
604,estás listo,604,548
605,hablas en serio,605,472
606,"lo sé, lo sé",606,788
607,dale,607,207
608,no es eso,608,637
609,me encantaría,609,816
610,es que,610,635
611,"no, espera",611,488
612,te encuentras bien,612,543
613,es una broma,613,724
614,no se,614,494
615,"bien, gracias",615,695
616,agua,616,545
617,es bueno,617,651
618,como,618,707
619,casi,619,682
620,adónde vamos,620,428
621,nick,621,843
622,como qué,622,601
623,respira,623,582
624,por que,624,576
625,nada más,625,485
626,sorpresa,626,542
627,imbécil,627,512
628,tienes hambre,628,687
629,no exactamente,629,948
630,lo digo en serio,630,929
631,no lo sabes,631,1284
632,ey,632,531
633,qué están haciendo,633,622
634,oh dios mío,634,2204
635,jim,635,608
636,más rápido,636,649
637,a ver,637,195
638,esto es una locura,638,615
639,jane,639,2439
640,pronto,640,517
641,enhorabuena,641,700
642,qué más,642,525
643,quién era,643,679
644,no lo puedo creer,644,358
645,aah,645,765
646,"ay, no",646,495
647,váyanse,647,559
648,sígueme,648,509
649,como sea,649,830
650,vengan,650,493
651,"sí, por favor",651,740
652,trato hecho,652,825
653,qué has hecho,653,920
654,whoa,654,1413
655,estarás bien,655,1019
656,te odio,656,984
657,no es posible,657,772
658,estará bien,658,870
659,ni idea,659,874
660,no creo,660,673
661,no lo hice,661,1181
662,como quieras,662,621
663,me alegro,663,427
664,dónde estoy,664,839
665,puede ser,665,565
666,la tengo,666,1064
667,no tengo ni idea,667,1435
668,es ella,668,641
669,es hermoso,669,546
670,qué quieres que haga,670,523
671,jimmy,671,544
672,salgamos de aquí,672,806
673,un minuto,673,803
674,míralo,674,609
675,no se mueva,675,443
676,tú crees,676,606
677,es eso,677,903
678,teniente,678,869
679,ajá,679,646
680,lo dudo,680,817
681,dímelo,681,722
682,a mí también,682,954
683,algo,683,823
684,voy,684,629
685,tío,685,1433
686,no es necesario,686,728
687,"sí, bueno",687,840
688,no está aquí,688,850
689,calla,689,537
690,sabe,690,778
691,hijo de perra,691,457
692,no disparen,692,491
693,james,693,750
694,creo que no,694,603
695,vete de aquí,695,501
696,tony,696,1286
697,te conozco,697,739
698,lo estoy,698,1329
699,shh,699,1087
700,eso es imposible,700,1093
701,"oh, si",701,713
702,um,702,2308
703,está claro,703,504
704,no tengas miedo,704,822
705,ten,705,670
706,ni hablar,706,785
707,tengo hambre,707,620
708,anna,708,895
709,claire,709,893
710,qué hago,710,664
711,impresionante,711,1384
712,vas a estar bien,712,1101
713,piénsalo,713,567
714,lista,714,533
715,está seguro,715,605
716,jesucristo,716,737
717,totalmente,717,994
718,dónde vas,718,873
719,"sí, seguro",719,539
720,yo lo haré,720,962
721,walter,721,2175
722,están bien,722,712
723,suena bien,723,1015
724,"oye, oye",724,911
725,ahora qué,725,1084
726,no podemos,726,662
727,está muerta,727,912
728,más,728,665
729,fue un accidente,729,1182
730,su majestad,730,3317
731,danny,731,691
732,está vivo,732,897
733,"oh, vamos",733,1643
734,pues,734,503
735,toma esto,735,683
736,no te creo,736,761
737,bastardo,737,1601
738,jake,738,198
739,taxi,739,573
740,es importante,740,970
741,sal de aquí,741,711
742,jamás,742,666
743,vámonos de aquí,743,456
744,qué significa,744,723
745,tú no,745,814
746,jódete,746,599
747,maestro,747,2120
748,qué opinas,748,595
749,ya veremos,749,766
750,"por favor, no",750,1226
751,ya lo creo,751,496
752,dios mio,752,648
753,maldito,753,698
754,tu,754,990
755,permiso,755,407
756,y entonces,756,1086
757,alguien,757,955
758,dispara,758,532
759,café,759,725
760,mm-hmm,760,2236
761,lo hizo,761,1690
762,abre,762,671
763,qué pasa contigo,763,1480
764,probablemente,764,1237
765,largo,765,676
766,sargento,766,685
767,negativo,767,571
768,muchísimas gracias,768,967
769,a dónde,769,736
770,hasta mañana,770,411
771,tome,771,661
772,escuche,772,591
773,"no, no puedo",773,914
774,"sí, pero",774,942
775,regresa,775,653
776,esto es ridículo,776,921
777,me alegro de verte,777,669
778,quién es él,778,796
779,"lo siento, señor",779,882
780,esto es,780,1211
781,"ah, no",781,528
782,amigos,782,1036
783,por el amor de dios,783,858
784,se encuentra bien,784,706
785,mary,785,2155
786,qué hay,786,392
787,"no, claro que no",787,997
788,quieres,788,848
789,hoy,789,697
790,debemos irnos,790,818
791,y usted,791,815
792,yo también te quiero,792,1332
793,kate,793,1709
794,estoy seguro,794,983
795,ahí tienes,795,1497
796,necesito tu ayuda,796,693
797,"bueno, sí",797,1330
798,mm,798,2106
799,vuelve,799,1007
800,por ahí,800,844
801,cómo dice,801,596
802,bill,802,1655
803,fin,803,971
804,dinero,804,566
805,comprendo,805,663
806,por fin,806,1172
807,quiénes son,807,813
808,no está bien,808,917
809,"sí, yo también",809,1120
810,yo sólo,810,1455
811,eso parece,811,1161
812,entre,812,1222
813,siguiente,813,1235
814,aquí estamos,814,995
815,cómo dices,815,801
816,qué has dicho,816,926
817,"espera, espera, espera",817,1978
818,eso no es verdad,818,1134
819,en marcha,819,626
820,sabes por qué,820,717
821,llámame,821,1419
822,sin duda,822,775
823,qué raro,823,708
824,seis,824,614
825,chris,825,650
826,mátalo,826,686
827,deténgase,827,655
828,hablo en serio,828,782
829,cierra la puerta,829,804
830,no me gusta,830,831
831,funciona,831,1385
832,tranquilízate,832,638
833,suéltalo,833,617
834,tommy,834,1554
835,lo siento tanto,835,1890
836,porqué,836,1144
837,will,837,1440
838,quédate ahí,838,702
839,definitivamente,839,857
840,basta ya,840,577
841,quiénes,841,758
842,bobby,842,863
843,santo dios,843,894
844,ooh,844,2015
845,da igual,845,688
846,bob,846,1383
847,es así,847,856
848,ahí estás,848,1122
849,cuánto tiempo,849,642
850,bienvenidos,850,901
851,a quién le importa,851,1301
852,de qué se trata,852,690
853,qué asco,853,733
854,bingo,854,726
855,sí señor,855,680
856,"no, no, no, no, no",856,2456
857,y esto,857,589
858,daniel,858,1460
859,hombre,859,519
860,de quién,860,879
861,espera aquí,861,1002
862,lo conoces,862,652
863,eso crees,863,906
864,vamos a ver,864,462
865,"vale, vale",865,961
866,muerto,866,1108
867,es un placer,867,878
868,a veces,868,864
869,"vamos, chicos",869,1055
870,"oh, gracias",870,1918
871,que es eso,871,585
872,hay alguien ahí,872,1365
873,siete,873,792
874,yeah,874,1527
875,quietos,875,534
876,demasiado tarde,876,1083
877,lo tenemos,877,745
878,"no, yo",878,1290
879,billy,879,716
880,rachel,880,4370
881,fbi,881,964
882,la verdad,882,1208
883,lo soy,883,1372
884,oh no,884,1931
885,aquí viene,885,1132
886,eso no es cierto,886,1159
887,es horrible,887,1214
888,muchachos,888,627
889,creo,889,1827
890,ray,890,1750
891,mark,891,1620
892,seguro que sí,892,808
893,mentiroso,893,1255
894,recuerdas,894,779
895,amor,895,1207
896,"vamos, cariño",896,876
897,puedo ayudarte,897,1783
898,johnny,898,1646
899,síganme,899,1168
900,sr,900,771
901,enseguida,901,780
902,qué hacen,902,835
903,eso es correcto,903,2132
904,deténganse,904,763
905,tómalo,905,747
906,aléjate,906,860
907,estás ahí,907,885
908,es mío,908,1089
909,muy gracioso,909,720
910,o,910,1428
911,váyase,911,689
912,qué pena,912,838
913,puedo hacerlo,913,1630
914,es demasiado tarde,914,1038
915,"bueno, bueno",915,583
916,quién es ella,916,828
917,vayan,917,1209
918,ahora vuelvo,918,916
919,"no, nada",919,611
920,todo va a estar bien,920,1364
921,hola a todos,921,1416
922,manos arriba,922,581
923,tenemos un problema,923,1353
924,es perfecto,924,1360
925,con quién,925,862
926,es maravilloso,926,1056
927,de nuevo,927,1196
928,eso es cierto,928,1468
929,no hay tiempo,929,1152
930,de qué está hablando,930,1514
931,cuál es tu nombre,931,1277
932,perra,932,757
933,vamonos,933,1022
934,te equivocas,934,1008
935,miren esto,935,730
936,lo hicimos,936,1333
937,muy bueno,937,837
938,quién está ahí,938,1508
939,por qué estás aquí,939,1832
940,qué lástima,940,810
941,steve,941,3427
942,qué ocurrió,942,1390
943,voy para allá,943,980
944,qué carajo,944,471
945,"venga, vamos",945,762
946,cómo te va,946,749
947,esto es increíble,947,800
948,abuelo,948,1079
949,lo intentaré,949,960
950,ninguno,950,943
951,desgraciado,951,619
952,"disculpe, señor",952,797
953,abuela,953,2973
954,aléjate de mí,954,1124
955,cómo es eso,955,973
956,vete al carajo,956,355
957,un placer,957,934
958,coronel,958,987
959,a dónde vamos,959,1187
960,me escuchas,960,1026
961,bebe,961,1767
962,todo saldrá bien,962,913
963,vuelvo enseguida,963,832
964,paren,964,731
965,cabrón,965,513
966,"vamos, hombre",966,602
967,qué bonito,967,732
968,quién es ese,968,1065
969,cállese,969,556
970,suéltala,970,743
971,cuál es,971,793
972,sip,972,3386
973,todo estará bien,973,1129
974,estamos listos,974,1233
975,estoy listo,975,1100
976,"oh, lo siento",976,2873
977,richard,977,1012
978,eddie,978,755
979,vete al diablo,979,529
980,qué es todo esto,980,1436
981,quédate,981,1009
982,llegas tarde,982,1369
983,vienes,983,951
984,lo haremos,984,1635
985,lo logramos,985,1106
986,para siempre,986,1034
987,para mí,987,799
988,no te preocupes por eso,988,1046
989,qué pasa aquí,989,584
990,agáchate,990,678
991,cualquier cosa,991,1694
992,tienes miedo,992,940
993,es tarde,993,936
994,andy,994,1035
995,por qué dices eso,995,1135
996,no se muevan,996,777
997,eso es ridículo,997,1337
998,ah sí,998,846
999,clark,999,6244
1000,qué está pasando aquí,1000,1336
1001,"si, si",1001,854
1002,en verdad,1002,1218
1003,qué puedo hacer,1003,1204
1004,emma,1004,1509
1005,amy,1005,2305
1006,no estoy segura,1006,2336
1007,déjame adivinar,1007,1811
1008,duele,1008,2366
1009,este,1009,769
1010,ohh,1010,1653
1011,allí está,1011,931
1012,cómo qué,1012,1380
1013,profesor,1013,1250
1014,y eso,1014,515
1015,annie,1015,4637
1016,pare,1016,890
1017,hay algún problema,1017,1536
1018,suéltenme,1018,993
1019,por qué yo,1019,927
1020,realmente,1020,1777
1021,o no,1021,1285
1022,"oh, mi dios",1022,1490
1023,pues sí,1023,659
1024,matt,1024,2902
1025,en realidad no,1025,3458
1026,te lo agradezco,1026,1302
1027,dámela,1027,675
1028,yo solo,1028,5342
1029,estúpido,1029,699
1030,lucy,1030,3891
1031,tranquilos,1031,551
1032,siéntense,1032,821
1033,déjame ir,1033,1516
1034,te ves bien,1034,851
1035,encantada,1035,625
1036,dígame,1036,727
1037,kevin,1037,2116
1038,vete a casa,1038,1682
1039,"oh, dios mio",1039,3675
1040,cómo te atreves,1040,2488
1041,entonces qué,1041,1738
1042,retrocedan,1042,1098
1043,emily,1043,1992
1044,adónde va,1044,518
1045,corten,1045,981
1046,retrocede,1046,1179
1047,"gracias, gracias",1047,924
1048,es una orden,1048,1028
1049,no sé qué decir,1049,1331
1050,"uno, dos",1050,1271
1051,comandante,1051,1491
1052,eso no importa,1052,1926
1053,salta,1053,709
1054,necesitas ayuda,1054,1252
1055,y luego,1055,1313
1056,qué hace aquí,1056,908
1057,hijo,1057,639
1058,algún problema,1058,1096
1059,te acuerdas,1059,760
1060,es la verdad,1060,989
1061,con qué,1061,1042
1062,te mataré,1062,1004
1063,"no, no lo creo",1063,2048
1064,a la mierda,1064,798
1065,te necesito,1065,1031
1066,general,1066,918
1067,quién habla,1067,570
1068,tú y yo,1068,1537
1069,saben qué,1069,1254
1070,ahí están,1070,770
1071,afuera,1071,1115
1072,no sé qué hacer,1072,1334
1073,"bueno, gracias",1073,933
1074,pero qué,1074,1787
1075,apúrense,1075,753
1076,ya verás,1076,881
1077,ninguna,1077,1280
1078,no llores,1078,1270
1079,estás aquí,1079,4014
1080,segura,1080,1183
1081,querida,1081,1467
1082,quien,1082,1143
1083,qué gracioso,1083,756
1084,"no, lo siento",1084,1553
1085,funcionó,1085,1070
1086,es fantástico,1086,829
1087,cierra la boca,1087,1097
1088,no lo recuerdo,1088,1525
1089,no hace falta,1089,1006
1090,qué ha dicho,1090,719
1091,"hola, amigo",1091,1279
1092,no está,1092,998
1093,lo harás,1093,1517
1094,"sí, soy yo",1094,668
1095,no puedo hacer eso,1095,1257
1096,lo sabías,1096,1283
1097,adam,1097,9877
1098,es ridículo,1098,1217
1099,es precioso,1099,888
1100,sabes que,1100,1494
1101,va todo bien,1101,2938
1102,no veo nada,1102,696
1103,cómo es posible,1103,1359
1104,"vaya, vaya",1104,834
1105,qué importa,1105,910
1106,no tengo hambre,1106,1388
1107,pasa algo,1107,852
1108,tenemos que salir de aquí,1108,1897
1109,"no, señora",1109,976
1110,papa,1110,1158
1111,hermoso,1111,938
1112,que es esto,1112,923
1113,"no, para nada",1113,1338
1114,de prisa,1114,1062
1115,vamos allá,1115,701
1116,para ti,1116,1074
1117,salgan,1117,1266
1118,suélteme,1118,789
1119,cuál es tu problema,1119,1165
1120,qué crees,1120,988
1121,ya lo tengo,1121,827
1122,cómo lo sabe,1122,784
1123,no entiendes,1123,1085
1124,cómo están,1124,930
1125,entren,1125,1045
1126,"sí, eso es",1126,1123
1127,justo aquí,1127,1534
1128,estás lista,1128,1126
1129,sal de ahí,1129,1190
1130,puedes creerlo,1130,1743
1131,dónde está ella,1131,1845
1132,no lo sabemos,1132,2372
1133,nos vemos luego,1133,1063
1134,es peligroso,1134,968
1135,mucho mejor,1135,1560
1136,cuál es su nombre,1136,2001
1137,puedes,1137,1154
1138,venga ya,1138,1320
1139,una vez más,1139,1450
1140,por nada,1140,1322
1141,de dónde eres,1141,597
1142,"bueno, está bien",1142,1024
1143,magnífico,1143,1295
1144,mi padre,1144,956
1145,a casa,1145,861
1146,niños,1146,1088
1147,encantado de conocerte,1147,2719
1148,ocho,1148,928
1149,carl,1149,2355
1150,si señor,1150,1057
1151,discúlpenme,1151,1663
1152,bienvenida,1152,1310
1153,qué puedo decir,1153,1351
1154,qué hacemos ahora,1154,1246
1155,"buenos días, señor",1155,977
1156,eso es verdad,1156,2060
1157,alice,1157,1672
1158,es mi culpa,1158,2149
1159,buena chica,1159,2416
1160,cierra los ojos,1160,847
1161,es correcto,1161,2623
1162,a ti,1162,1067
1163,está ahí,1163,1148
1164,qué diablos es eso,1164,768
1165,maggie,1165,1808
1166,"bueno, yo",1166,1877
1167,la policía,1167,714
1168,de qué habla,1168,959
1169,viste eso,1169,986
1170,lo encontré,1170,742
1171,necesito ayuda,1171,1171
1172,naturalmente,1172,909
1173,perdóneme,1173,1619
1174,espere un momento,1174,1249
1175,lo recuerdo,1175,1762
